#TYPE System.Management.Automation.PSCustomObject
"index","type","ip","name","status","time","rtt","count","downtime"
"1","icmp","10.20.10.29","Arena - MTBO - SSW19","40","2025-07-21 07:37:26","","979","2025-07-18 16:29:39"
"2","icmp","192.168.13.15","MTBO - OLA Server Master","40","2025-07-21 07:37:26","","214","2025-07-18 18:56:55"
"3","icmp","192.168.13.16","MTBO - OLA Server Slave","40","2025-07-21 07:37:26","","214","2025-07-18 18:56:55"
"4","icmp","192.168.13.1","MTBO - Firewall","40","2025-07-21 07:37:26","","214","2025-07-18 18:56:56"
"5","icmp","192.168.99.1","MTBO - Teltonika Router","40","2025-07-21 07:37:26","","214","2025-07-18 18:56:56"
"6","icmp","1.1.1.1","Internet - one.one.one.one","40","2025-07-21 07:37:26","","214","2025-07-18 18:56:57"
"7","icmp","9.9.9.9","Internet - Quad Nine","40","2025-07-21 07:37:26","","214","2025-07-18 18:56:57"
"9","icmp","192.168.10.11","C-Ort - OLA Server Master","40","2025-07-21 07:37:26","","980","2025-07-18 16:29:40"
"10","icmp","192.168.10.12","C-Ort - OLA Server Slave","40","2025-07-21 07:37:26","","980","2025-07-18 16:29:41"
"1","icmp","10.20.10.29","Arena - MTBO - SSW19","40","2025-07-21 07:37:36","","980","2025-07-18 16:29:39"
"2","icmp","192.168.13.15","MTBO - OLA Server Master","40","2025-07-21 07:37:36","","215","2025-07-18 18:56:55"
"3","icmp","192.168.13.16","MTBO - OLA Server Slave","40","2025-07-21 07:37:36","","215","2025-07-18 18:56:55"
"4","icmp","192.168.13.1","MTBO - Firewall","40","2025-07-21 07:37:36","","215","2025-07-18 18:56:56"
"5","icmp","192.168.99.1","MTBO - Teltonika Router","40","2025-07-21 07:37:36","","215","2025-07-18 18:56:56"
"6","icmp","1.1.1.1","Internet - one.one.one.one","40","2025-07-21 07:37:36","","215","2025-07-18 18:56:57"
"7","icmp","9.9.9.9","Internet - Quad Nine","40","2025-07-21 07:37:36","","215","2025-07-18 18:56:57"
"9","icmp","192.168.10.11","C-Ort - OLA Server Master","40","2025-07-21 07:37:36","","981","2025-07-18 16:29:40"
"10","icmp","192.168.10.12","C-Ort - OLA Server Slave","40","2025-07-21 07:37:36","","981","2025-07-18 16:29:41"
"1","icmp","10.20.10.29","Arena - MTBO - SSW19","40","2025-07-21 07:37:46","","981","2025-07-18 16:29:39"
"2","icmp","192.168.13.15","MTBO - OLA Server Master","40","2025-07-21 07:37:46","","216","2025-07-18 18:56:55"
"3","icmp","192.168.13.16","MTBO - OLA Server Slave","40","2025-07-21 07:37:46","","216","2025-07-18 18:56:55"
"4","icmp","192.168.13.1","MTBO - Firewall","40","2025-07-21 07:37:46","","216","2025-07-18 18:56:56"
"5","icmp","192.168.99.1","MTBO - Teltonika Router","40","2025-07-21 07:37:46","","216","2025-07-18 18:56:56"
"6","icmp","1.1.1.1","Internet - one.one.one.one","40","2025-07-21 07:37:46","","216","2025-07-18 18:56:57"
"7","icmp","9.9.9.9","Internet - Quad Nine","40","2025-07-21 07:37:46","","216","2025-07-18 18:56:57"
"9","icmp","192.168.10.11","C-Ort - OLA Server Master","40","2025-07-21 07:37:46","","982","2025-07-18 16:29:40"
"10","icmp","192.168.10.12","C-Ort - OLA Server Slave","40","2025-07-21 07:37:46","","982","2025-07-18 16:29:41"
"1","icmp","10.20.10.29","Arena - MTBO - SSW19","40","2025-07-21 07:37:57","","982","2025-07-18 16:29:39"
"2","icmp","192.168.13.15","MTBO - OLA Server Master","40","2025-07-21 07:37:57","","217","2025-07-18 18:56:55"
"3","icmp","192.168.13.16","MTBO - OLA Server Slave","40","2025-07-21 07:37:57","","217","2025-07-18 18:56:55"
"4","icmp","192.168.13.1","MTBO - Firewall","40","2025-07-21 07:37:57","","217","2025-07-18 18:56:56"
"5","icmp","192.168.99.1","MTBO - Teltonika Router","40","2025-07-21 07:37:57","","217","2025-07-18 18:56:56"
"6","icmp","1.1.1.1","Internet - one.one.one.one","40","2025-07-21 07:37:57","","217","2025-07-18 18:56:57"
"7","icmp","9.9.9.9","Internet - Quad Nine","40","2025-07-21 07:37:57","","217","2025-07-18 18:56:57"
"9","icmp","192.168.10.11","C-Ort - OLA Server Master","40","2025-07-21 07:37:57","","983","2025-07-18 16:29:40"
"10","icmp","192.168.10.12","C-Ort - OLA Server Slave","40","2025-07-21 07:37:57","","983","2025-07-18 16:29:41"
"1","icmp","10.20.10.29","Arena - MTBO - SSW19","40","2025-07-21 07:38:07","","983","2025-07-18 16:29:39"
"2","icmp","192.168.13.15","MTBO - OLA Server Master","40","2025-07-21 07:38:07","","218","2025-07-18 18:56:55"
"3","icmp","192.168.13.16","MTBO - OLA Server Slave","40","2025-07-21 07:38:07","","218","2025-07-18 18:56:55"
"4","icmp","192.168.13.1","MTBO - Firewall","40","2025-07-21 07:38:07","","218","2025-07-18 18:56:56"
"5","icmp","192.168.99.1","MTBO - Teltonika Router","40","2025-07-21 07:38:07","","218","2025-07-18 18:56:56"
"6","icmp","1.1.1.1","Internet - one.one.one.one","40","2025-07-21 07:38:07","","218","2025-07-18 18:56:57"
"7","icmp","9.9.9.9","Internet - Quad Nine","40","2025-07-21 07:38:07","","218","2025-07-18 18:56:57"
"9","icmp","192.168.10.11","C-Ort - OLA Server Master","40","2025-07-21 07:38:07","","984","2025-07-18 16:29:40"
"10","icmp","192.168.10.12","C-Ort - OLA Server Slave","40","2025-07-21 07:38:07","","984","2025-07-18 16:29:41"
"1","icmp","10.20.10.29","Arena - MTBO - SSW19","40","2025-07-21 07:38:17","","984","2025-07-18 16:29:39"
"2","icmp","192.168.13.15","MTBO - OLA Server Master","40","2025-07-21 07:38:17","","219","2025-07-18 18:56:55"
"3","icmp","192.168.13.16","MTBO - OLA Server Slave","40","2025-07-21 07:38:17","","219","2025-07-18 18:56:55"
