#TYPE System.Management.Automation.PSCustomObject
"index","type","ip","name","status","time","rtt","count","downtime"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server - OL","40","2025-07-17 14:58:41","","1",""
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server - OL","40","2025-07-17 14:58:53","","2",""
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:06:07","","1",""
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:06:19","","2",""
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:06:31","","3",""
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:06:43","","4",""
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:06:55","","5","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:06:55","","5","2025-07-17 15:06:55"
"3","icmp","10.0.0.32","3 - SSW11 - AP","40","2025-07-17 15:06:55","","5","2025-07-17 15:06:55"
"8","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:06:56","","5","2025-07-17 15:06:56"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:07:07","","6","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:07:07","","6","2025-07-17 15:06:55"
"3","icmp","10.0.0.32","3 - SSW11 - AP","40","2025-07-17 15:07:07","","6","2025-07-17 15:06:55"
"8","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:07:08","","6","2025-07-17 15:06:56"
